#           k/h    P           
    0.10039E-04    0.67981E+02
    0.10090E-04    0.68308E+02
    0.10140E-04    0.68637E+02
    0.10191E-04    0.68967E+02
    0.10242E-04    0.69299E+02
    0.10293E-04    0.69632E+02
    0.10345E-04    0.69967E+02
    0.10397E-04    0.70304E+02
    0.10449E-04    0.70642E+02
    0.10501E-04    0.70982E+02
    0.10554E-04    0.71323E+02
    0.10607E-04    0.71667E+02
    0.10660E-04    0.72011E+02
    0.10714E-04    0.72358E+02
    0.10767E-04    0.72706E+02
    0.10821E-04    0.73056E+02
    0.10875E-04    0.73407E+02
    0.10930E-04    0.73761E+02
    0.10985E-04    0.74116E+02
    0.11040E-04    0.74472E+02
    0.11095E-04    0.74830E+02
    0.11151E-04    0.75190E+02
    0.11207E-04    0.75552E+02
    0.11263E-04    0.75916E+02
    0.11319E-04    0.76281E+02
    0.11376E-04    0.76648E+02
    0.11433E-04    0.77017E+02
    0.11490E-04    0.77387E+02
    0.11548E-04    0.77760E+02
    0.11606E-04    0.78134E+02
    0.11664E-04    0.78510E+02
    0.11722E-04    0.78888E+02
    0.11781E-04    0.79267E+02
    0.11840E-04    0.79649E+02
    0.11900E-04    0.80032E+02
    0.11959E-04    0.80417E+02
    0.12019E-04    0.80804E+02
    0.12079E-04    0.81193E+02
    0.12140E-04    0.81583E+02
    0.12201E-04    0.81976E+02
    0.12262E-04    0.82370E+02
    0.12323E-04    0.82767E+02
    0.12385E-04    0.83165E+02
    0.12447E-04    0.83565E+02
    0.12510E-04    0.83967E+02
    0.12572E-04    0.84371E+02
    0.12635E-04    0.84777E+02
    0.12699E-04    0.85185E+02
    0.12762E-04    0.85595E+02
    0.12826E-04    0.86007E+02
    0.12891E-04    0.86420E+02
    0.12955E-04    0.86836E+02
    0.13020E-04    0.87254E+02
    0.13086E-04    0.87674E+02
    0.13151E-04    0.88096E+02
    0.13217E-04    0.88520E+02
    0.13283E-04    0.88945E+02
    0.13350E-04    0.89373E+02
    0.13417E-04    0.89803E+02
    0.13484E-04    0.90235E+02
    0.13552E-04    0.90670E+02
    0.13620E-04    0.91106E+02
    0.13688E-04    0.91544E+02
    0.13756E-04    0.91985E+02
    0.13825E-04    0.92427E+02
    0.13895E-04    0.92872E+02
    0.13964E-04    0.93319E+02
    0.14034E-04    0.93768E+02
    0.14105E-04    0.94219E+02
    0.14175E-04    0.94672E+02
    0.14246E-04    0.95128E+02
    0.14318E-04    0.95586E+02
    0.14390E-04    0.96046E+02
    0.14462E-04    0.96508E+02
    0.14534E-04    0.96972E+02
    0.14607E-04    0.97439E+02
    0.14680E-04    0.97907E+02
    0.14754E-04    0.98378E+02
    0.14828E-04    0.98852E+02
    0.14902E-04    0.99327E+02
    0.14977E-04    0.99805E+02
    0.15052E-04    0.10029E+03
    0.15127E-04    0.10077E+03
    0.15203E-04    0.10125E+03
    0.15279E-04    0.10174E+03
    0.15356E-04    0.10223E+03
    0.15433E-04    0.10272E+03
    0.15510E-04    0.10322E+03
    0.15588E-04    0.10371E+03
    0.15666E-04    0.10421E+03
    0.15745E-04    0.10471E+03
    0.15824E-04    0.10522E+03
    0.15903E-04    0.10572E+03
    0.15983E-04    0.10623E+03
    0.16063E-04    0.10674E+03
    0.16143E-04    0.10726E+03
    0.16224E-04    0.10777E+03
    0.16306E-04    0.10829E+03
    0.16387E-04    0.10881E+03
    0.16469E-04    0.10934E+03
    0.16552E-04    0.10986E+03
    0.16635E-04    0.11039E+03
    0.16718E-04    0.11092E+03
    0.16802E-04    0.11145E+03
    0.16886E-04    0.11199E+03
    0.16971E-04    0.11253E+03
    0.17056E-04    0.11307E+03
    0.17142E-04    0.11362E+03
    0.17228E-04    0.11416E+03
    0.17314E-04    0.11471E+03
    0.17401E-04    0.11526E+03
    0.17488E-04    0.11582E+03
    0.17576E-04    0.11638E+03
    0.17664E-04    0.11694E+03
    0.17752E-04    0.11750E+03
    0.17841E-04    0.11806E+03
    0.17931E-04    0.11863E+03
    0.18020E-04    0.11920E+03
    0.18111E-04    0.11978E+03
    0.18202E-04    0.12035E+03
    0.18293E-04    0.12093E+03
    0.18384E-04    0.12151E+03
    0.18477E-04    0.12210E+03
    0.18569E-04    0.12268E+03
    0.18662E-04    0.12328E+03
    0.18756E-04    0.12387E+03
    0.18850E-04    0.12446E+03
    0.18944E-04    0.12506E+03
    0.19039E-04    0.12566E+03
    0.19135E-04    0.12627E+03
    0.19231E-04    0.12688E+03
    0.19327E-04    0.12749E+03
    0.19424E-04    0.12810E+03
    0.19521E-04    0.12872E+03
    0.19619E-04    0.12934E+03
    0.19718E-04    0.12996E+03
    0.19816E-04    0.13058E+03
    0.19916E-04    0.13121E+03
    0.20016E-04    0.13184E+03
    0.20116E-04    0.13248E+03
    0.20217E-04    0.13312E+03
    0.20318E-04    0.13376E+03
    0.20420E-04    0.13440E+03
    0.20522E-04    0.13505E+03
    0.20625E-04    0.13570E+03
    0.20728E-04    0.13635E+03
    0.20832E-04    0.13700E+03
    0.20937E-04    0.13766E+03
    0.21042E-04    0.13833E+03
    0.21147E-04    0.13899E+03
    0.21253E-04    0.13966E+03
    0.21360E-04    0.14033E+03
    0.21467E-04    0.14101E+03
    0.21574E-04    0.14169E+03
    0.21683E-04    0.14237E+03
    0.21791E-04    0.14305E+03
    0.21900E-04    0.14374E+03
    0.22010E-04    0.14443E+03
    0.22121E-04    0.14513E+03
    0.22231E-04    0.14583E+03
    0.22343E-04    0.14653E+03
    0.22455E-04    0.14723E+03
    0.22567E-04    0.14794E+03
    0.22681E-04    0.14865E+03
    0.22794E-04    0.14937E+03
    0.22908E-04    0.15009E+03
    0.23023E-04    0.15081E+03
    0.23139E-04    0.15153E+03
    0.23255E-04    0.15226E+03
    0.23371E-04    0.15300E+03
    0.23488E-04    0.15373E+03
    0.23606E-04    0.15447E+03
    0.23724E-04    0.15522E+03
    0.23843E-04    0.15596E+03
    0.23963E-04    0.15671E+03
    0.24083E-04    0.15747E+03
    0.24204E-04    0.15822E+03
    0.24325E-04    0.15899E+03
    0.24447E-04    0.15975E+03
    0.24570E-04    0.16052E+03
    0.24693E-04    0.16129E+03
    0.24816E-04    0.16207E+03
    0.24941E-04    0.16285E+03
    0.25066E-04    0.16363E+03
    0.25192E-04    0.16442E+03
    0.25318E-04    0.16521E+03
    0.25445E-04    0.16600E+03
    0.25572E-04    0.16680E+03
    0.25700E-04    0.16760E+03
    0.25829E-04    0.16841E+03
    0.25959E-04    0.16922E+03
    0.26089E-04    0.17004E+03
    0.26220E-04    0.17085E+03
    0.26351E-04    0.17168E+03
    0.26483E-04    0.17250E+03
    0.26616E-04    0.17333E+03
    0.26749E-04    0.17417E+03
    0.26883E-04    0.17500E+03
    0.27018E-04    0.17585E+03
    0.27154E-04    0.17669E+03
    0.27290E-04    0.17754E+03
    0.27426E-04    0.17840E+03
    0.27564E-04    0.17925E+03
    0.27702E-04    0.18012E+03
    0.27841E-04    0.18098E+03
    0.27980E-04    0.18185E+03
    0.28121E-04    0.18273E+03
    0.28262E-04    0.18361E+03
    0.28403E-04    0.18449E+03
    0.28546E-04    0.18538E+03
    0.28689E-04    0.18627E+03
    0.28833E-04    0.18717E+03
    0.28977E-04    0.18807E+03
    0.29122E-04    0.18897E+03
    0.29268E-04    0.18988E+03
    0.29415E-04    0.19080E+03
    0.29563E-04    0.19171E+03
    0.29711E-04    0.19264E+03
    0.29860E-04    0.19356E+03
    0.30009E-04    0.19449E+03
    0.30160E-04    0.19543E+03
    0.30311E-04    0.19637E+03
    0.30463E-04    0.19731E+03
    0.30616E-04    0.19826E+03
    0.30769E-04    0.19922E+03
    0.30923E-04    0.20018E+03
    0.31078E-04    0.20114E+03
    0.31234E-04    0.20211E+03
    0.31391E-04    0.20308E+03
    0.31548E-04    0.20406E+03
    0.31706E-04    0.20504E+03
    0.31865E-04    0.20602E+03
    0.32025E-04    0.20702E+03
    0.32185E-04    0.20801E+03
    0.32347E-04    0.20901E+03
    0.32509E-04    0.21002E+03
    0.32672E-04    0.21103E+03
    0.32835E-04    0.21204E+03
    0.33000E-04    0.21306E+03
    0.33165E-04    0.21409E+03
    0.33332E-04    0.21512E+03
    0.33499E-04    0.21615E+03
    0.33667E-04    0.21719E+03
    0.33835E-04    0.21824E+03
    0.34005E-04    0.21929E+03
    0.34175E-04    0.22034E+03
    0.34347E-04    0.22140E+03
    0.34519E-04    0.22247E+03
    0.34692E-04    0.22354E+03
    0.34866E-04    0.22462E+03
    0.35041E-04    0.22570E+03
    0.35216E-04    0.22678E+03
    0.35393E-04    0.22787E+03
    0.35570E-04    0.22897E+03
    0.35748E-04    0.23007E+03
    0.35928E-04    0.23118E+03
